Disease,Symptom(problem by user),Prescription and diagnosis
Chronic Obstructive Pulmonary Disease (COPD),"Shortness of breath, chronic cough with mucus production, wheezing, chest tightness","Bronchodilators, inhaled corticosteroids, oxygen therapy, pulmonary rehabilitation"
Alzheimer's Disease,"Memory loss, difficulty completing familiar tasks, confusion with time or place, trouble understanding visual images and spatial relationships, changes in mood or personality","Medications (cholinesterase inhibitors, memantine), cognitive and behavioral therapies, support services"
Parkinson's Disease,"Tremors, slowed movement (bradykinesia), rigid muscles, impaired posture and balance, loss of automatic movements, speech changes","Medications (levodopa, dopamine agonists), deep brain stimulation surgery, physical therapy, speech therapy"
Epilepsy,"Recurrent seizures (convulsions), temporary confusion, uncontrollable jerking movements of the arms and legs, loss of consciousness","Antiepileptic medications, ketogenic diet, vagus nerve stimulation, surgery in severe cases"
Rheumatoid Arthritis,"Joint pain and swelling, stiffness, fatigue, fever, loss of appetite","Disease-modifying antirheumatic drugs (DMARDs), biologic agents, corticosteroids, physical therapy, lifestyle changes"
Chronic Kidney Disease,"Fatigue, weakness, swelling in the legs, ankles, or feet, decreased appetite, nausea, unexplained weight loss, changes in urination","Medications to control blood pressure and blood sugar levels, dietary changes (low protein, low sodium), dialysis or kidney transplant"
Chronic Liver Disease,"Fatigue, weakness, jaundice (yellowing of the skin and eyes), abdominal swelling, itchy skin, dark urine, pale stools","Medications (to manage symptoms and complications), lifestyle changes (diet, alcohol cessation), liver transplant in severe cases"
Celiac Disease,"Digestive symptoms (diarrhea, bloating, gas, abdominal pain), fatigue, weight loss, anemia, skin rash (dermatitis herpetiformis)","Gluten-free diet (eliminating wheat, barley, rye), vitamin and mineral supplements, avoiding cross-contamination"
Sleep Apnea,"Loud snoring, pauses in breathing during sleep, choking or gasping during sleep, daytime sleepiness, morning headaches","Continuous positive airway pressure (CPAP) therapy, oral appliances, lifestyle changes (weight loss, avoiding alcohol)"
Fibromyalgia,"Widespread musculoskeletal pain, fatigue, sleep disturbances, cognitive difficulties (fibro fog), headaches, irritable bowel syndrome","Medications (pain relievers, antidepressants, antiseizure drugs), physical therapy, stress reduction techniques"
Disease Name,Symptoms,Treatment
Addison’s Disease,"Fatigue, weight loss, muscle weakness, low blood pressure, darkening of the skin.",Hormone replacement therapy with corticosteroids.
Alcohol-related Liver Disease,"Fatigue, jaundice, abdominal pain, swelling in the abdomen.","Alcohol cessation, dietary changes, medications to manage complications."
Allergic Rhinitis,"Sneezing, runny or stuffy nose, itchy eyes, throat, or roof of the mouth.","Antihistamines, decongestants, nasal corticosteroids, allergen avoidance."
Allergies,"Rash, itching, swelling, sneezing, runny nose, shortness of breath.","Antihistamines, decongestants, epinephrine (for severe allergic reactions)."
Alzheimer’s Disease,"Memory loss, confusion, difficulty with language, mood swings.","Medications to manage symptoms, support services for patients and caregivers."
Anal Cancer,"Rectal bleeding, pain or pressure in the anal area, changes in bowel habits.","Surgery, chemotherapy, radiation therapy."
Anaphylaxis,"Difficulty breathing, rapid heartbeat, hives, swelling, nausea.","Injection of epinephrine (EpiPen), emergency medical care."
Angina,"Chest pain or discomfort, shortness of breath, fatigue.","Medications (nitroglycerin, beta-blockers), lifestyle changes, angioplasty or bypass surgery if severe."
Angioedema,"Swelling of the deeper layers of the skin, often around the eyes and lips.","Antihistamines, corticosteroids, epinephrine (for severe cases)."
Ankylosing Spondylitis,"Back pain and stiffness, reduced flexibility, fatigue.","Exercise, physical therapy, nonsteroidal anti-inflammatory drugs (NSAIDs), biologic medications."
Anorexia Nervosa,"Severe weight loss, distorted body image, fear of gaining weight.","Therapy (individual, family, or group), nutritional counseling, sometimes hospitalization for severe cases."
Anxiety,"Excessive worry, restlessness, irritability, muscle tension, difficulty concentrating.","Therapy (cognitive-behavioral therapy, etc.), medications (antidepressants, anti-anxiety drugs)."
Anxiety Disorders in Children,"Excessive worry, fearfulness, avoidance of certain situations, physical symptoms (headaches, stomachaches).","Therapy (cognitive-behavioral therapy, play therapy), medications if necessary."
Appendicitis,"Abdominal pain, usually starting around the navel and shifting to the lower right abdomen, nausea, vomiting, fever.",Appendectomy (surgical removal of the appendix).
Arterial Thrombosis,"Depends on the location of the clot; can include chest pain, shortness of breath, limb pain or numbness.","Anticoagulant medications, thrombolytic therapy, surgery in severe cases."
Arthritis,"Joint pain, stiffness, swelling, decreased range of motion.","Medications (NSAIDs, corticosteroids), physical therapy, joint injections, surgery for severe cases."
Asbestosis,"Shortness of breath, persistent cough, chest tightness, clubbing of fingers.","Supportive care to manage symptoms, oxygen therapy, pulmonary rehabilitation."
Asthma,"Wheezing, shortness of breath, chest tightness, coughing.","Inhalers (bronchodilators, corticosteroids), allergy management, lifestyle modifications."
Atopic Eczema,"Itchy, red, dry skin, rash, inflammation.","Emollients (moisturizers), topical corticosteroids, antihistamines, avoiding triggers."
Atrial Fibrillation,"Palpitations, irregular heartbeat, fatigue, dizziness, shortness of breath.","Medications (blood thinners, rate or rhythm control drugs), cardioversion, ablation therapy, lifestyle changes."
Attention Deficit Hyperactivity Disorder (ADHD),"Inattention, hyperactivity, impulsivity, difficulty focusing or completing tasks.","Behavioral therapy, medications (stimulants, non-stimulants), education and support."
Autistic Spectrum Disorder (ASD),"Social communication challenges, repetitive behaviors, restricted interests, sensory sensitivities.","Early intervention services, behavioral therapy, educational support, medications for associated symptoms (if necessary)."
Bacterial Vaginosis,"Vaginal discharge with a fishy odor, itching, burning sensation during urination.","Antibiotics (oral or vaginal), probiotics."
Benign Prostate Enlargement,"Frequent urination, difficulty starting or stopping urination, weak urine flow.","Medications (alpha blockers, 5-alpha reductase inhibitors), minimally invasive procedures, surgery (in severe cases)."
Bile Duct Cancer,"Jaundice, abdominal pain, itching, unexplained weight loss.","Surgery, chemotherapy, radiation therapy, liver transplantation (in selected cases)."
Binge Eating,"Eating large quantities of food in a short period, feeling out of control during episodes, guilt or shame afterwards.","Therapy (cognitive-behavioral therapy, interpersonal therapy), medication (selective serotonin reuptake inhibitors, topiramate)."
Bipolar Disorder,"Episodes of mania (elevated mood, increased activity) and depression (low mood, loss of interest), mood swings.","Mood stabilizers, antipsychotic medications, psychotherapy."
Bladder Cancer,"Blood in urine, frequent urination, pain during urination, pelvic pain.","Surgery, chemotherapy, radiation therapy, immunotherapy."
Blood Poisoning (Sepsis),"Fever, rapid breathing, rapid heart rate, confusion, decreased urine output.","Antibiotics, intravenous fluids, supportive care (such as oxygen therapy and organ support)."
Bone Cancer,"Bone pain, swelling, fractures, fatigue, weight loss.","Surgery, chemotherapy, radiation therapy, targeted therapy."
Bone Cancer: Teenagers and Young Adults,"Symptoms and treatment similar to bone cancer in adults, with specific considerations for the age group.",
Bowel Cancer,"Changes in bowel habits, blood in stool, abdominal pain, unexplained weight loss.","Surgery, chemotherapy, radiation therapy, targeted therapy."
Bowel Incontinence,"Involuntary leakage of stool, urgency to defecate.","Dietary changes, pelvic floor exercises, medications, surgery (in severe cases)."
Bowel Polyps,"Usually asymptomatic, but can cause rectal bleeding, changes in bowel habits.","Removal of polyps during colonoscopy, surveillance colonoscopy."
Brain Stem Death,"Loss of consciousness, absent brainstem reflexes (such as pupillary response and gag reflex).",Irreversible condition; supportive care for organ donation process.
Brain Tumours,"Headaches, seizures, cognitive changes, weakness or numbness in limbs.","Surgery, chemotherapy, radiation therapy, targeted therapy."
Brain Tumours: Children,"Symptoms and treatment similar to brain tumors in adults, with specific considerations for pediatric patients.",
Brain Tumours: Teenagers and Young Adults,"Symptoms and treatment similar to brain tumors in adults, with specific considerations for the age group.",
Breast Cancer (Female),"Lump or mass in the breast, changes in breast size or shape, nipple discharge.","Surgery (lumpectomy or mastectomy), chemotherapy, radiation therapy, hormone therapy, targeted therapy."
Breast Cancer (Male),"Symptoms and treatment similar to breast cancer in females, though less common in males.",
Bronchiectasis,"Chronic cough, production of large amounts of sputum, recurrent respiratory infections.","Chest physiotherapy, antibiotics, bronchodilators, mucolytic agents."
Bronchitis,"Cough (with or without sputum), chest discomfort, fatigue, mild fever.","Rest, hydration, cough suppressants, bronchodilators, antibiotics (if bacterial)."
Bulimia,"Recurrent episodes of binge eating followed by purging (vomiting, laxative use, excessive exercise), body image concerns.","Therapy (cognitive-behavioral therapy, dialectical behavior therapy), medication (antidepressants, antipsychotics)."
Bunion,"Bony bump at the base of the big toe, pain, redness, swelling.","Orthotics, footwear modifications, padding, pain relief medications, surgery (in severe cases)."
Carcinoid Syndrome & Tumours,"Flushing, diarrhea, wheezing, abdominal pain, skin lesions.","Surgical removal of tumors, medications to control symptoms (such as octreotide or lanreotide), targeted therapy."
Catarrh,"Excessive mucus in the nose or throat, nasal congestion, postnasal drip.","Humidification, hydration, decongestants, antihistamines."
Cellulitis,"Redness, swelling, warmth, tenderness of the skin, fever.","Antibiotics, elevation of the affected area, pain relief medications."
Cerebral Palsy,"Muscle stiffness or weakness, poor coordination, tremors, difficulty walking.","Physical therapy, occupational therapy, speech therapy, medications to manage symptoms."
Cervical Cancer,"Abnormal vaginal bleeding, pelvic pain, pain during intercourse.","Surgery, chemotherapy, radiation therapy, targeted therapy."
Chest Infection,"Cough, chest pain, fever, shortness of breath, fatigue.","Antibiotics (if bacterial), rest, hydration, fever reducers."
Chest Pain,"Pressure, squeezing, or tightness in the chest, shortness of breath, nausea.","Depends on the cause; may include medications (nitroglycerin, aspirin), lifestyle changes, surgery (in severe cases)."
Chickenpox,"Rash (itchy, blister-like), fever, headache, fatigue.","Symptomatic relief (calamine lotion, oatmeal baths), antiviral medications (for severe cases), vaccination (prevention)."
Chilblains,"Red, itchy, swollen patches on the skin, often on extremities.","Keeping warm, avoiding cold exposure, topical corticosteroids, pain relief medications."
Chlamydia,"Often asymptomatic; can include genital discharge, burning sensation during urination.","Antibiotics (azithromycin, doxycycline), partner treatment, abstinence until treatment completion."
Chronic Fatigue Syndrome,"Severe fatigue, unrefreshing sleep, muscle or joint pain, cognitive difficulties.","Symptomatic relief (rest, pacing), cognitive-behavioral therapy, graded exercise therapy, medications for symptom management."
Chronic Kidney Disease,"Fatigue, swelling of legs, changes in urination (frequency, color), nausea, itching.","Blood pressure control, dietary changes, medications to manage symptoms and complications, dialysis or kidney transplant (in severe cases)."
Chronic Lymphocytic Leukaemia,"Often asymptomatic initially; can include fatigue, swollen lymph nodes, night sweats.","Watchful waiting (for early-stage disease), chemotherapy, targeted therapy, immunotherapy, stem cell transplant (in selected cases)."
Chronic Myeloid Leukaemia,"Often asymptomatic initially; can include fatigue, abdominal fullness, weight loss.","Targeted therapy (tyrosine kinase inhibitors), chemotherapy, stem cell transplant (in selected cases)."
Chronic Obstructive Pulmonary Disease,"Shortness of breath, chronic cough, wheezing, chest tightness.","Smoking cessation, bronchodilators, inhaled corticosteroids, pulmonary rehabilitation, oxygen therapy (in advanced cases)."
Chronic Pain,"Persistent pain lasting beyond the expected healing time, affecting daily life.","Multidisciplinary approach (medications, physical therapy, psychological support), lifestyle modifications, interventions (nerve blocks, spinal cord stimulation)."
Chronic Pancreatitis,"Abdominal pain, nausea, vomiting, weight loss, oily stools.","Pain management, dietary changes (low-fat diet), enzyme replacement therapy, surgery (in severe cases)."
Cirrhosis,"Fatigue, weakness, jaundice, abdominal swelling, confusion.","Addressing underlying cause (such as alcohol cessation), symptom management, liver transplant (in selected cases)."
Clostridium Difficile (C. Diff),"Diarrhea (often severe and watery), abdominal pain, fever, nausea.","Antibiotics (metronidazole, vancomycin), probiotics, fecal microbiota transplantation (in recurrent cases)."
Coeliac Disease,"Abdominal pain, bloating, diarrhea, weight loss, fatigue (in response to gluten ingestion).","Strict gluten-free diet, nutritional supplementation, symptom management."
Cold Sore,"Painful, fluid-filled blisters on or around the lips, tingling or itching sensation.","Antiviral medications (creams, pills), over-the-counter pain relievers, keeping the area clean and dry."
Coma,"Unresponsiveness, lack of awareness of surroundings, absence of wakefulness.","Supportive care (maintaining vital functions), addressing underlying cause, rehabilitation."
Common Cold,"Runny or stuffy nose, sore throat, cough, sneezing, fatigue.","Symptomatic relief (rest, hydration, over-the-counter medications for symptoms)."
Common Heart Conditions,Symptoms and treatment vary depending on the specific heart condition.,
Congenital Heart Disease,"Vary depending on the specific defect; can include cyanosis, rapid breathing, poor feeding (in infants).","Depends on the type and severity of the defect; may include medications, catheter-based interventions, surgery."
Conjunctivitis,"Redness, itching, tearing, discharge from the eye.","Depends on the cause (viral, bacterial, allergic); may include artificial tears, antihistamines, antibiotic eye drops."
Constipation,"Infrequent bowel movements, difficulty passing stools, abdominal discomfort.","Dietary changes (increased fiber intake, hydration), laxatives, stool softeners, lifestyle modifications."
Coronavirus (COVID-19),"Fever, cough, shortness of breath, loss of taste or smell, fatigue.","Supportive care (rest, hydration, fever reducers), antiviral medications (in selected cases), vaccination (prevention)."
Cough,"Persistent cough, often with sputum production.","Depends on the cause (viral, bacterial, allergic, etc.); may include cough suppressants, expectorants, hydration, treating underlying condition."
Crohn’s Disease,"Abdominal pain, diarrhea, fatigue, weight loss, bloody stools.","Medications (anti-inflammatory drugs, immunosuppressants), dietary changes, surgery (in severe cases)."
Croup,"Barking cough, hoarseness, difficulty breathing, fever.","Symptomatic relief (hydration, humidification), corticosteroids (in severe cases), supportive care."
Cystic Fibrosis,Chronic cough,
Deafblindness,"Combined hearing and vision loss, difficulty communicating and navigating surroundings.","Assistive devices (braille, hearing aids), specialized training (orientation and mobility, communication techniques), support services (interpreter services)."
Deep Vein Thrombosis (DVT),"Swelling, pain, warmth, redness in the affected leg, sometimes no symptoms.","Blood thinners (anticoagulants), compression stockings, elevation of the affected leg, clot-dissolving medications (thrombolytics), vein filters (in selected cases)."
Dehydration,"Thirst, dry mouth, dark urine, fatigue, dizziness, confusion, decreased urine output.","Oral or intravenous fluids, electrolyte replacement, addressing underlying cause (e.g., treating infections, adjusting medication)."
Dementia,"Memory loss, difficulty with communication, confusion, mood changes, difficulty reasoning and problem-solving.","Medications (cholinesterase inhibitors, memantine), cognitive stimulation therapy, support groups, caregiver support, environmental modifications."
Dementia with Lewy Bodies,"Fluctuating cognition, visual hallucinations, Parkinsonism (stiffness, tremors), sleep disturbances.","Medications for Parkinson's symptoms (levodopa, dopamine agonists), cholinesterase inhibitors, memantine, management of hallucinations and sleep disturbances."
Dental Abscess,"Severe toothache, fever, swelling in the face or cheek, swollen lymph nodes, pus drainage.","Antibiotics, drainage of the abscess (root canal or tooth extraction), pain relief medications (NSAIDs, acetaminophen)."
Depression,"Persistent sadness, loss of interest or pleasure in activities, changes in appetite or weight, sleep disturbances, fatigue, feelings of worthlessness or guilt.","Psychotherapy (cognitive-behavioral therapy, interpersonal therapy), antidepressant medications, lifestyle changes (exercise, social support)."
Dermatitis Herpetiformis,"Itchy, blistering rash, often on elbows, knees, buttocks, and back.","Gluten-free diet, medications (dapsone, sulfapyridine), topical treatments (corticosteroids, antihistamines)."
Diabetes,"Increased thirst, frequent urination, unexplained weight loss, fatigue, blurred vision, slow-healing sores, tingling or numbness in hands or feet.","Blood sugar monitoring, insulin therapy (for type 1 diabetes), oral medications (for type 2 diabetes), dietary management, exercise, regular medical check-ups."
Diarrhoea,"Frequent, loose, watery stools, abdominal cramps, urgency to defecate, nausea, vomiting, fever.","Hydration (oral rehydration solutions), dietary adjustments (e.g., avoiding irritants), medications to control symptoms (e.g., loperamide), addressing underlying cause (e.g., treating infections)."
Discoid Eczema,"Round or oval patches of red, inflamed skin, often on arms, legs, or trunk, itching, scaling, sometimes blisters.","Emollients, topical corticosteroids, calcineurin inhibitors, phototherapy, avoiding triggers (e.g., irritants, allergens)."
Diverticular Disease,"Abdominal pain (usually in the lower left side), bloating, changes in bowel habits, sometimes no symptoms.","High-fiber diet, medications to relieve symptoms (e.g., pain relievers, antispasmodics), antibiotics (for diverticulitis), lifestyle modifications (e.g., exercise, weight management)."
Dizziness (Lightheadedness),"Feeling faint, woozy, or unsteady, sensation of spinning or movement (vertigo), loss of balance or coordination.","Addressing underlying cause (e.g., hydration, treating infections, adjusting medications), vestibular rehabilitation exercises, medications (e.g., for vertigo), avoiding triggers (e.g., sudden movements)."
Down's Syndrome,"Intellectual disability, distinctive facial features, poor muscle tone, delayed development, heart defects, gastrointestinal issues, hearing and vision problems.","Early intervention programs, special education, speech therapy, physical therapy, occupational therapy, medical management of associated health issues."
Dry Mouth,"Dry, sticky feeling in the mouth, frequent thirst, difficulty swallowing or speaking, altered taste sensation, mouth sores.","Sipping water throughout the day, saliva substitutes, medications to stimulate saliva production, avoiding irritants (e.g., alcohol, tobacco), dental care to prevent complications (e.g., cavities)."
Dysphagia,"Difficulty swallowing, pain or discomfort while swallowing, choking sensation, regurgitation of food.","Dietary modifications (e.g., soft or pureed foods), swallowing exercises, postural adjustments, medications to reduce esophageal spasms, dilation of the esophagus (in severe cases)."
Dystonia,"Involuntary muscle contractions causing twisting, repetitive movements or abnormal postures, tremors, pain.","Medications (muscle relaxants, botulinum toxin injections), physical therapy, occupational therapy, speech therapy, deep brain stimulation (in selected cases)."
Earache,"Pain in the ear (mild to severe), ear pressure or fullness, hearing loss, drainage from the ear, fever.",
Earwax Build-up,"Earache, feeling of fullness in the ear, hearing loss, ringing in the ear, itching or drainage from the ear canal.",
Ebola Virus Disease,"Fever, severe headache, muscle pain, fatigue, diarrhea, vomiting, abdominal pain, unexplained bleeding or bruising, weakness.",
Ectopic Pregnancy,"Abdominal or pelvic pain (often severe and sudden), vaginal bleeding or spotting, shoulder pain, dizziness or fainting.",
Edwards' Syndrome,"Low birth weight, developmental delays, characteristic facial features (small jaw, low-set ears), heart defects, clenched hands, rocker-bottom feet, intellectual disability.",
Endometriosis,"Pelvic pain (often worsening during menstruation), painful periods, pain during intercourse, infertility, fatigue.",
Epilepsy,"Recurrent seizures (convulsions), unusual sensations (aura), temporary confusion, staring spells, loss of consciousness, uncontrollable jerking movements.",
Erectile Dysfunction,"Difficulty achieving or maintaining an erection, reduced sexual desire, premature ejaculation.",
Escherichia coli (E. coli) O157,"Severe abdominal cramps, diarrhea (often bloody), vomiting, fever.",
Ewing Sarcoma,"Pain and swelling in the affected area (usually bones), fever, weight loss, fatigue, broken bone (if tumor weakens the bone).",
Ewing Sarcoma: Children,"Same as Ewing sarcoma in general, but typically affects children and adolescents.",
Eye Cancer,"Vision changes (blurry vision, loss of vision), floaters (spots or squiggles in vision), eye pain, bulging of the eye, change in eye color, white pupil.",
Yellow Fever,"Fever, headache, muscle aches, vomiting, jaundice (yellowing of the skin and eyes), bleeding (hemorrhagic fever)","Supportive care to relieve symptoms (rest, hydration, pain relievers), vaccination for prevention (prior to travel)"
Warts and Verrucas,"Small, rough growths on the skin (warts), usually painless, may have black dots; Verrucas are warts on the soles of the feet, may have small black dots and be painful","Over-the-counter treatments (salicylic acid, cryotherapy), prescription medications, minor surgical procedures, laser therapy, immunotherapy"
Whooping Cough,"Initially cold-like symptoms (runny nose, fever), severe coughing fits with a ""whooping"" sound, vomiting after coughing, exhaustion between coughing fits","Antibiotics (if given early), supportive care (rest, hydration, maintaining airway), vaccination for prevention"
Wilms' Tumor,"Abdominal swelling or mass, abdominal pain, blood in the urine, high blood pressure, fever, weight loss","Surgery to remove the tumor (nephrectomy), chemotherapy, radiation therapy, targeted therapy, follow-up care and monitoring"
Womb (Uterus) Cancer,"Abnormal vaginal bleeding (between periods, after menopause), pelvic pain or pressure, abnormal vaginal discharge","Surgery (hysterectomy), radiation therapy, chemotherapy, hormone therapy, targeted therapy, follow-up care and monitoring"
Vaginal Cancer,"Abnormal vaginal bleeding (after menopause, between periods), pelvic pain or pressure, abnormal vaginal discharge","Surgery (hysterectomy), radiation therapy, chemotherapy, targeted therapy, follow-up care and monitoring"
Vaginal Discharge,"Normal discharge is clear or white, abnormal discharge may be yellow, green, or gray and have a strong odor","Treatment depends on the underlying cause: Antifungal or antibiotic medications for infections, hormone therapy, lifestyle changes"
Varicose Eczema,"Itchy, red, and swollen skin around varicose veins, skin may become dry, cracked, or weepy","Compression therapy (wearing compression stockings), moisturizing creams, elevating the legs, topical corticosteroids, treating underlying venous insufficiency"
Venous Leg Ulcer,"Open sores on the legs, usually around the ankles, may be painful, itchy, or have a discharge","Compression therapy (bandages, stockings), wound care (cleaning, dressings), treating underlying venous insufficiency, medications (pain relievers, antibiotics)"
Vertigo,"Sensation of spinning or movement when stationary, balance problems, nausea, vomiting","Epley maneuver (for benign paroxysmal positional vertigo), vestibular rehabilitation, medications (antihistamines, antiemetics), treating underlying cause"
Vitamin B12 or Folate Deficiency Anaemia,"Fatigue, weakness, pale or jaundiced skin, shortness of breath, dizziness, tingling or numbness in hands and feet","Vitamin B12 or folate supplements, dietary changes (increasing intake of B12- or folate-rich foods), treating underlying cause (malabsorption, dietary deficiency)"
Vomiting in Adults,"Nausea, retching, and expelling stomach contents through the mouth, dehydration, electrolyte imbalance","Treatment depends on the underlying cause: Oral rehydration, medications to control nausea and vomiting (antiemetics), treating underlying medical conditions"
Vulval Cancer,"Itching, pain, or tenderness in the vulva, changes in the skin color or texture, lump, ulcer, or wart-like growth","Surgery (lumpectomy, vulvectomy), radiation therapy, chemotherapy, targeted therapy, follow-up care and monitoring"
Febrile Seizures,"Convulsions or seizures triggered by fever, usually in infants and young children, loss of consciousness, rhythmic jerking movements of arms and legs, staring.","Ensure safety during the seizure, cool the room, treat fever with acetaminophen or ibuprofen, seek medical attention if necessary."
Feeling of Something in Your Throat (Globus),"Sensation of a lump or something stuck in the throat, difficulty swallowing, throat tightness, hoarseness, persistent cough.","Treatment focuses on managing underlying stress or anxiety, reassurance, cognitive-behavioral therapy, speech therapy, lifestyle modifications."
Fever in Adults,"Elevated body temperature, chills, sweating, headache, muscle aches, fatigue, weakness, dehydration, confusion.","Address underlying cause, fever-reducing medications, hydration, rest, treating symptoms of underlying condition, seek medical attention if necessary."
Fever in Children,"Elevated body temperature, irritability, decreased appetite, lethargy, fussiness, cough, runny nose, rash.","Focus on symptom relief, fever-reducing medications, encourage fluids, rest, monitor for signs of serious illness, seek medical attention if necessary."
Fibroids,"Heavy menstrual bleeding, prolonged periods, pelvic pain or pressure, frequent urination, constipation, backache, leg pains, pain during intercourse, infertility.","Medications, noninvasive procedures, surgical removal of fibroids, lifestyle changes, fertility treatments."
Fibromyalgia,"Widespread musculoskeletal pain, fatigue, sleep disturbances, cognitive difficulties, stiffness, headaches, IBS, depression, anxiety.","Medications, physical therapy, exercise, stress management techniques, cognitive-behavioral therapy, acupuncture, massage therapy, sleep hygiene practices, dietary changes."
Farting,Passing of gas from the digestive system through the rectum.,"Dietary changes, lifestyle modifications, over-the-counter remedies, treating underlying conditions."
Flu,"Fever, chills, cough, sore throat, runny or stuffy nose, muscle or body aches, fatigue, headache, vomiting or diarrhea.","Symptomatic relief, antiviral medications, avoid spreading the virus, seek medical attention if necessary."
Foetal Alcohol Syndrome,"Facial abnormalities, growth delays, small head size, poor coordination, hyperactivity, learning disabilities, intellectual disability.","Supportive care, early intervention services, addressing associated health issues, parental education, behavioral therapy, medication."
Food Poisoning,"Nausea, vomiting, diarrhea, abdominal pain or cramps, fever, headache, weakness, fatigue.","Symptomatic relief, rest, hydration, avoiding solid foods, bland diet, seek medical attention if severe symptoms."
Functional Neurological Disorder (FND),"Neurological symptoms inconsistent with known medical conditions, such as weakness, tremors, seizures, numbness, vision changes, gait abnormalities.","Physical therapy, occupational therapy, speech therapy, cognitive-behavioral therapy, psychotherapy, stress management techniques, medications."
Fungal Nail Infection,"Thickened, discolored nails, brittle or crumbly nails, distorted nail shape, foul odor, pain or discomfort, separation of the nail from the nail bed.","Topical antifungal medications, oral antifungal medications, surgical removal of the nail, laser therapy, maintaining good foot hygiene, avoiding sharing personal items."
Ulcerative Colitis,"Diarrhea (often bloody), abdominal pain and cramping, rectal bleeding, urgency to defecate, weight loss","Medications (anti-inflammatory drugs, immunosuppressants), dietary changes (low-fiber, low-residue diet), biologic therapy, surgery (colectomy)"
Underactive Thyroid,"Fatigue, weight gain, cold intolerance, dry skin, hair loss, constipation, depression","Thyroid hormone replacement therapy (levothyroxine), lifestyle changes (diet, exercise), regular monitoring of thyroid function"
Urinary Incontinence,"Involuntary leakage of urine, frequent urination, urgency to urinate, nocturia (waking up to urinate at night)","Behavioral techniques (bladder training, pelvic floor exercises), medications (anticholinergics, alpha-blockers), medical devices (vaginal pessaries, urethral inserts), surgery"
Urinary Tract Infection (UTI),"Pain or burning sensation during urination, frequent urination, cloudy or strong-smelling urine, pelvic pain","Antibiotics prescribed by a doctor, increased fluid intake, pain relievers for discomfort"
Urinary Tract Infection (UTI) in Children,"Fever, irritability, poor feeding, vomiting, diarrhea, foul-smelling urine, difficulty urinating","Antibiotics prescribed by a doctor, increased fluid intake, monitoring for signs of dehydration"
